,text,score,time
0,Healthy,Empty,2024-08-01_13-23-38
1,,Empty,2024-08-01_13-23-51
2,wet AMD,Empty,2024-08-01_13-24-11
3,,Empty,2024-08-01_13-24-43
4,,Empty,2024-08-01_13-24-50
5,wet AMD,Empty,2024-08-01_13-25-03
6,,Empty,2024-08-01_13-25-10
7,,Empty,2024-08-01_13-25-19
8,,Empty,2024-08-01_13-25-35
9,,Empty,2024-08-01_13-25-45
10,,Empty,2024-08-01_13-26-14
11,,Empty,2024-08-01_13-26-21
12,,Empty,2024-08-01_13-26-27
13,,Empty,2024-08-01_13-26-32
14,,Empty,2024-08-01_13-26-37
15,,Empty,2024-08-01_13-26-56
16,,Empty,2024-08-01_13-27-02
17,,Empty,2024-08-01_13-27-08
18,,Empty,2024-08-01_13-27-14
19,,Empty,2024-08-01_13-27-22
